code,severity,model_branch,timestamp,blocking_before_fix,blocking_after_fix,note
DECISION_WITHOUT_INTENT,WATCH,"NQ / US_MIDDAY_LONG / x1",2026-04-29T15:13:46.108706+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"GC / US_MIDDAY_SHORT / x1",2026-04-29T15:13:23.120398+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"MES / US_MIDDAY_SHORT_BREAKDOWN / x1",2026-04-29T15:11:57.256609+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"MES / US_MIDDAY_LONG / x1",2026-04-29T15:11:50.111001+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"MNQ / US_MIDDAY_SHORT_BREAKDOWN / x1",2026-04-29T15:11:16.780126+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"MNQ / US_MIDDAY_LONG / x1",2026-04-29T15:10:23.003937+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"ES / US_MIDDAY_SHORT_BREAKDOWN / x1",2026-04-29T15:09:00.617070+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"ES / US_MIDDAY_LONG / x1",2026-04-29T15:08:07.330544+00:00,true,false,Advisory review row only
DECISION_WITHOUT_INTENT,WATCH,"NQ / US_MIDDAY_SHORT_BREAKDOWN / x1",2026-04-29T15:06:31.807183+00:00,true,false,Advisory review row only
