lane_id,strategy_id,source_instrument,runtime_status,governance_status,routing_mode,local_paper_trading_enabled,recent_local_trades_count,recent_local_open_timestamp,recent_local_close_timestamp,current_app_internal_position,current_broker_attributed_position,recent_trade_path,ibkr_submit_capable,eligible_for_ibkr_paper_routing,exact_blocker,intent_action,submit_block_reasons,realized_pnl,unrealized_pnl,total_net_pnl,average_trade,win_rate,profit_factor,max_drawdown,max_consecutive_losers,rejection_count,reconciliation_error_count,open_order_ambiguity_count
gc_1x_asia_london_participation__asia_london_short_v2,asia_london_participation_core_v1__GC,GC,READY,PROBATION_ACTIVE,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,0,,,FLAT 0.0,FLAT 0.0,NONE,True,True,,NO_ACTION,,0.00,0.00,0.00,,,,0.00,,0,0,0
mes_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-27T12:32:20.444300+00:00,2026-04-27T12:32:20.488804+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-31.25,0.00,-31.25,-6.25,20.00,0.04,32.50,4,0,0,0
mes_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:32:26.083525+00:00,2026-04-27T12:32:26.610828+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,25.00,0.00,25.00,6.25,75.00,2.18,21.25,1,0,0,0
mes_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:32:31.942299+00:00,2026-04-27T12:32:33.020374+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,25.00,0.00,25.00,6.25,75.00,2.18,21.25,1,0,0,0
mes_1x_ny_early_core__us_late_long,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,7,2026-04-28T17:37:56.333932+00:00,2026-04-28T17:50:47.686116+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,235.00,0.00,235.00,33.57,57.14,6.88,21.25,2,0,0,0
mes_1x_ny_early_core__us_late_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,8,2026-04-28T17:38:48.011226+00:00,2026-04-28T17:38:48.048901+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-111.25,0.00,-111.25,-13.91,50.00,0.10,123.75,4,0,0,0
mes_1x_ny_early_core__us_midday_long,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:41:23.977765+00:00,2026-04-28T15:41:24.031592+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,0.00,40.00,1.00,12.50,2,0,0,0
mes_1x_ny_early_core__us_midday_short_breakdown,index_futures_ny_intraday_forced_core_v2__MES,MES,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:42:20.437977+00:00,2026-04-28T15:42:21.525410+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-32.50,0.00,-32.50,-6.50,20.00,0.21,38.75,3,0,0,0
atp_companion_v1_asia_us,ATP_COMPANION_V1_ASIA_US,MGC,OWNED_BROKER_POSITION,DEGRADED,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,0,2026-04-20T20:45:06.512297+00:00,2026-04-20T20:53:27.865982+00:00,FLAT 0.0,FLAT 0.0,BROKER_PATH,False,False,missing_bridge_adapter,,,-444.00,0.00,-444.00,-16.44,44.44,0.62,642.00,3,0,0,0
mgc_1x_asia_london_participation__asia_london_long_v5,asia_london_participation_core_v1__MGC,MGC,READY,PROBATION_ACTIVE,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,0,,,FLAT 0.0,FLAT 0.0,NONE,True,True,,NO_ACTION,,0.00,0.00,0.00,,,,0.00,,0,0,0
mgc_1x_asia_london_participation__asia_london_short_v2,asia_london_participation_core_v1__MGC,MGC,READY,PROBATION_ACTIVE,IBKR_SUBMIT_CAPABLE_NO_ACTION,False,0,,,FLAT 0.0,FLAT 0.0,NONE,True,True,,NO_ACTION,,0.00,0.00,0.00,,,,0.00,,0,0,0
mnq_1x_asia_london_participation__asia_london_long_v5,asia_london_participation_core_v1__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,0,,,FLAT 0.0,FLAT 0.0,NONE,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,,,,0.00,,0,0,0
mnq_1x_asia_london_participation__asia_london_long_v6,asia_london_participation_core_v1__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,0,,,FLAT 0.0,FLAT 0.0,NONE,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,,,,0.00,,0,0,0
mnq_1x_asia_london_participation__asia_london_short_v2,asia_london_participation_core_v1__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,0,,,FLAT 0.0,FLAT 0.0,NONE,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,,,,0.00,,0,0,0
