lane_id,source_instrument,routing_mode,governance_status,ibkr_submit_capable,eligible_for_ibkr_paper_routing,current_intent_action,next_action,exact_blocker
mnq_1x_ny_early_core__us_midday_short_breakdown,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_asia_london_participation__asia_london_long_v5,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_asia_london_participation__asia_london_long_v6,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_asia_london_participation__asia_london_short_v2,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_early_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_early_short_breakdown,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_late_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_late_short_reclaim_fail,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_midday_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
nq_1x_ny_early_core__us_midday_short_breakdown,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,False,False,NO_ACTION,expand_instrument_scope_before_porting,unsupported_instrument_scope
