lane_id,source_instrument,routing_mode,governance_status,trades_today,trades_last_3_sessions,trades_last_5_sessions,trades_last_10_sessions,realized_pnl,unrealized_pnl,total_net_pnl,average_trade,win_rate,profit_factor,max_drawdown,max_consecutive_losers,trade_frequency_last_10_sessions,cost_slippage_drag,order_rejection_count,reconciliation_error_count,open_order_ambiguity_count,execution_cleanliness,reconciliation_cleanliness,overlap_redundancy,operational_risk,readiness_class
mes_1x_ny_early_core__us_late_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,7,7,235.00,0.00,235.00,33.57,57.14,6.88,21.25,2,0.70,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mes_1x_ny_early_core__us_late_short_reclaim_fail,MES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,8,8,-111.25,0.00,-111.25,-13.91,50.00,0.10,123.75,4,0.80,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mes_1x_ny_early_core__us_midday_long,MES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,0.00,0.00,0.00,0.00,40.00,1.00,12.50,2,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mes_1x_ny_early_core__us_midday_short_breakdown,MES,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-32.50,0.00,-32.50,-6.50,20.00,0.21,38.75,3,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
atp_companion_v1_asia_us,MGC,IBKR_SUBMIT_CAPABLE_NO_ACTION,DEGRADED,0,6,11,19,-444.00,0.00,-444.00,-16.44,44.44,0.62,642.00,3,1.90,0.00,0,0,0,CLEAN,CLEAN,HIGH_OVERLAP_SAME_UNDERLYING,NORMAL,WATCHLIST
mgc_1x_asia_london_participation__asia_london_long_v5,MGC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROBATION_ACTIVE,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,CLEAN,CLEAN,HIGH_OVERLAP_SAME_UNDERLYING,NORMAL,WATCHLIST
mgc_1x_asia_london_participation__asia_london_short_v2,MGC,IBKR_SUBMIT_CAPABLE_NO_ACTION,PROBATION_ACTIVE,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,CLEAN,CLEAN,HIGH_OVERLAP_SAME_UNDERLYING,NORMAL,WATCHLIST
mnq_1x_asia_london_participation__asia_london_long_v5,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_asia_london_participation__asia_london_long_v6,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_asia_london_participation__asia_london_short_v2,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_early_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-56.50,0.00,-56.50,-11.30,0.00,0.00,56.50,5,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_early_short_breakdown,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,4,4,90.00,0.00,90.00,22.50,75.00,4.53,25.50,1,0.40,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,4,4,90.00,0.00,90.00,22.50,75.00,4.53,25.50,1,0.40,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_late_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,6,6,-98.00,0.00,-98.00,-16.33,33.33,0.28,132.00,3,0.60,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_late_short_reclaim_fail,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,6,6,124.50,0.00,124.50,20.75,83.33,6.19,24.00,1,0.60,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_midday_long,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,129.00,0.00,129.00,25.80,60.00,3.43,32.50,1,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
mnq_1x_ny_early_core__us_midday_short_breakdown,MNQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-119.00,0.00,-119.00,-23.80,0.00,0.00,119.00,5,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_asia_london_participation__asia_london_long_v5,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_asia_london_participation__asia_london_long_v6,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,0,0,0,0.00,0.00,0.00,,,,0.00,,0.00,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_asia_london_participation__asia_london_short_v2,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,1,1,1,5295.00,0.00,5295.00,5295.00,100.00,999.00,0.00,0,0.10,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_early_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-680.00,0.00,-680.00,-136.00,0.00,0.00,680.00,4,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_early_short_breakdown,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,4,4,990.00,0.00,990.00,247.50,75.00,6.21,190.00,1,0.40,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,4,4,690.00,0.00,690.00,172.50,75.00,2.41,490.00,1,0.40,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_late_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,6,6,1130.00,0.00,1130.00,188.33,50.00,2.35,520.00,2,0.60,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_late_short_reclaim_fail,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,7,7,-1050.00,0.00,-1050.00,-150.00,71.43,0.49,2040.00,2,0.70,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_midday_long,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,1515.00,0.00,1515.00,303.00,60.00,5.59,195.00,1,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
nq_1x_ny_early_core__us_midday_short_breakdown,NQ,LEGACY_LOCAL_PAPER,WATCHLIST,0,3,5,5,-1200.00,0.00,-1200.00,-240.00,20.00,0.10,1200.00,3,0.50,0.00,0,0,0,LOCAL_ONLY,CLEAN,MODERATE,LOCAL_ONLY,DIAGNOSTIC_ONLY
