instrument_expression,scenario_id,scenario_label,decomposition_axis,bucket,trade_count,total_gross_pnl_cash,total_fees_cash,total_slippage_cash,total_net_pnl_cash,average_net_trade_cash,median_net_trade_cash,win_rate,profit_factor,max_drawdown,largest_win,largest_loss,max_consecutive_losers
GC,GC_FEE_ONLY,GC fee-only,session,US,2549,144344.3667,11470.5,0.0,132873.8667,52.1278,75.5,58.5328,1.3206,17715.2583,3753.7,-5785.4583,9
GC,GC_FEE_ONLY,GC fee-only,year,2024,1887,81125.8417,8491.5,0.0,72634.3417,38.492,55.5,59.0355,1.4976,4504.2833,1020.1,-1444.5,8
GC,GC_FEE_ONLY,GC fee-only,year,2025,2053,158308.6167,9238.5,0.0,149070.1167,72.6109,124.7667,59.5226,1.4972,9995.3917,2895.5,-2831.625,8
GC,GC_FEE_ONLY,GC fee-only,year,2026,572,93126.9583,2574.0,0.0,90552.9583,158.3094,283.9,61.1888,1.4092,23986.1667,3939.5667,-5785.4583,7
GC,GC_FEE_ONLY,GC fee-only,direction,LONG,4512,332561.4167,20304.0,0.0,312257.4167,69.206,85.5,59.5301,1.4681,23986.1667,3939.5667,-5785.4583,8
GC,GC_FEE_ONLY,GC fee-only,exit_reason,stop,640,-405697.5833,2880.0,0.0,-408577.5833,-638.4025,-425.4792,0.0,0.0,408577.5833,-57.7917,-5785.4583,640
GC,GC_FEE_ONLY,GC fee-only,exit_reason,stop_first_conflict,1,-283.3333,4.5,0.0,-287.8333,-287.8333,-287.8333,0.0,0.0,287.8333,-287.8333,-287.8333,1
GC,GC_FEE_ONLY,GC fee-only,exit_reason,target,1671,779252.3333,7519.5,0.0,771732.8333,461.8389,321.9667,100.0,771732.8333,0.0,3939.5667,60.5,0
GC,GC_FEE_ONLY,GC fee-only,exit_reason,time_stop,2200,-40710.0,9900.0,0.0,-50610.0,-23.0045,-14.5,46.1364,0.804,53336.5,3245.5,-4624.5,11
GC,GC_SLIPPAGE_ONLY,GC slippage-only,session,ASIA,1963,188217.05,0.0,39260.0,148957.05,75.8823,78.6667,59.2461,1.5626,7326.0833,3924.0667,-4686.3333,7
GC,GC_SLIPPAGE_ONLY,GC slippage-only,session,US,2549,144344.3667,0.0,50980.0,93364.3667,36.6278,60.0,56.2574,1.2165,18304.2583,3738.2,-5800.9583,9
GC,GC_SLIPPAGE_ONLY,GC slippage-only,year,2024,1887,81125.8417,0.0,37740.0,43385.8417,22.992,40.0,56.1738,1.2741,5339.55,1004.6,-1460.0,8
GC,GC_SLIPPAGE_ONLY,GC slippage-only,year,2025,2053,158308.6167,0.0,41060.0,117248.6167,57.1109,109.2667,57.9152,1.3746,10444.8917,2880.0,-2847.125,8
GC,GC_SLIPPAGE_ONLY,GC slippage-only,year,2026,572,93126.9583,0.0,11440.0,81686.9583,142.8094,268.4,60.8392,1.3635,24141.1667,3924.0667,-5800.9583,7
GC,GC_SLIPPAGE_ONLY,GC slippage-only,direction,LONG,4512,332561.4167,0.0,90240.0,242321.4167,53.706,70.0,57.5576,1.3482,24141.1667,3924.0667,-5800.9583,8
GC,GC_SLIPPAGE_ONLY,GC slippage-only,exit_reason,stop,640,-405697.5833,0.0,12800.0,-418497.5833,-653.9025,-440.9792,0.0,0.0,418497.5833,-73.2917,-5800.9583,640
GC,GC_SLIPPAGE_ONLY,GC slippage-only,exit_reason,stop_first_conflict,1,-283.3333,0.0,20.0,-303.3333,-303.3333,-303.3333,0.0,0.0,303.3333,-303.3333,-303.3333,1
GC,GC_SLIPPAGE_ONLY,GC slippage-only,exit_reason,target,1671,779252.3333,0.0,33420.0,745832.3333,446.3389,306.4667,100.0,745832.3333,0.0,3924.0667,45.0,0
GC,GC_SLIPPAGE_ONLY,GC slippage-only,exit_reason,time_stop,2200,-40710.0,0.0,44000.0,-84710.0,-38.5045,-30.0,42.0909,0.6944,86780.0,3230.0,-4640.0,11
GC,GC_HALF_SLIPPAGE,GC half slippage,session,ASIA,1963,188217.05,8833.5,19630.0,159753.55,81.3823,84.1667,59.6536,1.6134,7309.5833,3929.5667,-4680.8333,7
GC,GC_HALF_SLIPPAGE,GC half slippage,session,US,2549,144344.3667,11470.5,25490.0,107383.8667,42.1278,65.5,57.2381,1.2526,18095.2583,3743.7,-5795.4583,9
GC,GC_HALF_SLIPPAGE,GC half slippage,year,2024,1887,81125.8417,8491.5,18870.0,53764.3417,28.492,45.5,57.2867,1.3495,5042.55,1010.1,-1454.5,8
GC,GC_HALF_SLIPPAGE,GC half slippage,year,2025,2053,158308.6167,9238.5,20530.0,128540.1167,62.6109,114.7667,58.4023,1.417,10285.3917,2885.5,-2841.625,8
