comparison_id,gc_scenario_id,mgc_scenario_id,gc_net_pnl_cash,mgc_net_pnl_cash,gc_minus_mgc_net_pnl_cash,gc_profit_factor,mgc_profit_factor,gc_cost_consumed_pct,mgc_cost_consumed_pct,gc_max_drawdown,mgc_max_drawdown,gc_drawdown_to_profit_ratio,mgc_drawdown_to_profit_ratio,gc_net_pnl_per_unit_of_drawdown,mgc_net_pnl_per_unit_of_drawdown,gc_breakeven_cost_per_trade,mgc_breakeven_cost_per_trade,gc_trade_count,mgc_trade_count
gross,GC_GROSS_ZERO_COST,MGC_GROSS_ZERO_COST,332561.4167,38382.315,294179.1017,1.5047,1.5422,0.0,0.0,23941.1667,1768.9533,0.072,0.0461,13.8908,21.6978,73.706,7.7306,4512,4965
framework_current_vs_current,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,MGC_CURRENT_V2_COST_MODEL,100193.4167,6109.815,94083.6017,1.132,1.0718,69.8722,84.0817,26404.2583,5856.1858,0.2635,0.9585,3.7946,1.0433,73.706,7.7306,4512,4965
gc_proxy_current_vs_mgc_current,GC_CURRENT_REPO_CONTRACT_COST_PROXY,MGC_CURRENT_V2_COST_MODEL,222017.4167,6109.815,215907.6017,1.3151,1.0718,33.2402,84.0817,24186.1667,5856.1858,0.1089,0.9585,9.1795,1.0433,73.706,7.7306,4512,4965
half_slippage,GC_HALF_SLIPPAGE,MGC_HALF_SLIPPAGE,267137.4167,18522.315,248615.1017,1.3896,1.2336,19.6728,51.7426,24086.1667,1952.665,0.0902,0.1054,11.0909,9.4857,73.706,7.7306,4512,4965
double_slippage,GC_DOUBLE_SLIPPAGE,MGC_DOUBLE_SLIPPAGE,131777.4167,-18715.185,150492.6017,1.177,0.8082,60.375,148.7599,24386.1667,23631.575,0.1851,,5.4038,-0.792,73.706,7.7306,4512,4965
fee_only,GC_FEE_ONLY,MGC_FEE_ONLY,312257.4167,30934.815,281322.6017,1.4681,1.4188,6.1053,19.4035,23986.1667,1816.9533,0.0768,0.0587,13.0182,17.0257,73.706,7.7306,4512,4965
slippage_only,GC_SLIPPAGE_ONLY,MGC_SLIPPAGE_ONLY,242321.4167,13557.315,228764.1017,1.3482,1.1662,27.1348,64.6782,24141.1667,2493.9758,0.0996,0.184,10.0377,5.436,73.706,7.7306,4512,4965
conservative_live_proxy,GC_CONSERVATIVE_LIVE_PROXY,MGC_CONSERVATIVE_LIVE_PROXY,131777.4167,-18715.185,150492.6017,1.177,0.8082,60.375,148.7599,24386.1667,23631.575,0.1851,,5.4038,-0.792,73.706,7.7306,4512,4965
naive_10x_reference,NAIVE_10X_MGC_SCALING_REFERENCE_ONLY,MGC_CURRENT_V2_COST_MODEL,61098.15,6109.815,54988.335,1.0718,1.0718,84.0817,84.0817,58561.858,5856.1858,0.9585,0.9585,1.0433,1.0433,7.7306,7.7306,4965,4965
