timestamp,lane_id,strategy_id,source_instrument,executable_proxy_expected,action,quantity,local_fill_id,internal_broker_id,local_price,routing_mode,governance_status,lane_ibkr_submit_capable,standardized_ibkr_order_intent_generated,ibkr_bridge_invoked,ibkr_order_attempted,classification,bridge_not_invoked_reason,post_fix_runtime_destination,post_fix_bridge_submit_capable,post_fix_runtime_policy,post_fix_fill_policy,remediation_status
2026-04-29T08:25:00-04:00,es_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__es_1x_ny_early_core__us_early_short_reclaim_fail,ES,MES,SELL,1,11,paper-ES|1m|2026-04-29T12:25:00Z|SELL_TO_OPEN,7172.5,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:27:00-04:00,es_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__es_1x_ny_early_core__us_early_short_reclaim_fail,ES,MES,EXIT,1,12,paper-ES|1m|2026-04-29T12:27:00Z|BUY_TO_CLOSE,7173.75,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:25:00-04:00,mnq_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,MNQ,SELL,1,11,paper-MNQ|1m|2026-04-29T12:25:00Z|SELL_TO_OPEN,27243.75,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:26:00-04:00,mnq_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,MNQ,EXIT,1,12,paper-MNQ|1m|2026-04-29T12:26:00Z|BUY_TO_CLOSE,27241.0,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:25:00-04:00,mes_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__mes_1x_ny_early_core__us_early_short_breakdown,MES,MES,SELL,1,11,paper-MES|1m|2026-04-29T12:25:00Z|SELL_TO_OPEN,7172.5,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:27:00-04:00,mes_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__mes_1x_ny_early_core__us_early_short_breakdown,MES,MES,EXIT,1,12,paper-MES|1m|2026-04-29T12:27:00Z|BUY_TO_CLOSE,7173.75,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:26:00-04:00,mes_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__mes_1x_ny_early_core__us_early_long,MES,MES,BUY,1,13,paper-MES|1m|2026-04-29T12:26:00Z|BUY_TO_OPEN,7172.5,LEGACY_LOCAL_PAPER,DEGRADED,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,IBKR_BRIDGE_RUNTIME_REQUIRED,BROKER_PATH_ONLY_OR_BLOCKED_NOT_SENT,FIXED_FOR_FUTURE_SIGNALS
2026-04-29T08:29:00-04:00,mes_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__mes_1x_ny_early_core__us_early_long,MES,MES,EXIT,1,14,paper-MES|1m|2026-04-29T12:29:00Z|SELL_TO_CLOSE,7170.5,IBKR_ROUTED,DEGRADED,True,False,False,False,IBKR_ROUTE_MISSING_BUG,"lane was already in the family submit-port window, but the fill still carried a local paper-* broker_order_id and no IBKR bridge attempt/broker truth was found",ibkr_paper_bridge_submit_capable,True,IBKR_BRIDGE_RUNTIME_REQUIRED,BROKER_PATH_ONLY_OR_BLOCKED_NOT_SENT,FIXED_FOR_FUTURE_SIGNALS
2026-04-29T08:25:00-04:00,nq_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,MNQ,SELL,1,11,paper-NQ|1m|2026-04-29T12:25:00Z|SELL_TO_OPEN,27242.75,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:27:00-04:00,nq_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,MNQ,EXIT,1,12,paper-NQ|1m|2026-04-29T12:27:00Z|BUY_TO_CLOSE,27247.75,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:25:00-04:00,mes_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__mes_1x_ny_early_core__us_early_short_reclaim_fail,MES,MES,SELL,1,12,paper-MES|1m|2026-04-29T12:25:00Z|SELL_TO_OPEN,7172.5,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:27:00-04:00,mes_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__mes_1x_ny_early_core__us_early_short_reclaim_fail,MES,MES,EXIT,1,13,paper-MES|1m|2026-04-29T12:27:00Z|BUY_TO_CLOSE,7173.75,LEGACY_LOCAL_PAPER,PROMISING,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,LEGACY_LOCAL_ALLOWED,HISTORICAL_LOCAL_ONLY,UNCHANGED_HISTORICAL_CLASSIFICATION
2026-04-29T08:26:00-04:00,mnq_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__mnq_1x_ny_early_core__us_early_long,MNQ,MNQ,BUY,1,14,paper-MNQ|1m|2026-04-29T12:26:00Z|BUY_TO_OPEN,27241.0,LEGACY_LOCAL_PAPER,DEGRADED,False,False,False,False,LOCAL_ONLY_EXPECTED_NOT_PORTED,unsupported_instrument_scope,ibkr_paper_bridge_submit_capable,True,IBKR_BRIDGE_RUNTIME_REQUIRED,BROKER_PATH_ONLY_OR_BLOCKED_NOT_SENT,FIXED_FOR_FUTURE_SIGNALS
