lane_id,source_instrument,governance_status,current_runtime_status,local_paper_trading_enabled,ibkr_bridge_submit_capable,current_routing_mode,recent_local_trades_occurred,recent_trade_route_kind,current_order_destination,local_trading_allowed,submit_allowed,submit_block_reasons,broker_path_pnl,internal_sim_pnl,diagnostic_only_pnl
mnq_1x_asia_london_participation__asia_london_short_v2,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,False,NONE,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,0.00
mnq_1x_ny_early_core__us_early_long,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-56.50
mnq_1x_ny_early_core__us_early_short_breakdown,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,90.00
mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,90.00
mnq_1x_ny_early_core__us_late_long,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-98.00
mnq_1x_ny_early_core__us_late_short_reclaim_fail,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,124.50
mnq_1x_ny_early_core__us_midday_long,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,129.00
mnq_1x_ny_early_core__us_midday_short_breakdown,MNQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-119.00
nq_1x_asia_london_participation__asia_london_long_v5,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,False,NONE,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,0.00
nq_1x_asia_london_participation__asia_london_long_v6,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,False,NONE,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,0.00
nq_1x_asia_london_participation__asia_london_short_v2,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,5295.00
nq_1x_ny_early_core__us_early_long,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-680.00
nq_1x_ny_early_core__us_early_short_breakdown,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,990.00
nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,690.00
nq_1x_ny_early_core__us_late_long,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,1130.00
nq_1x_ny_early_core__us_late_short_reclaim_fail,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-1050.00
nq_1x_ny_early_core__us_midday_long,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,1515.00
nq_1x_ny_early_core__us_midday_short_breakdown,NQ,WATCHLIST,READY,True,False,INTERNAL_ONLY_DIAGNOSTIC,True,INTERNAL_ONLY,legacy_app_paper_runtime,True,False,unsupported_instrument_scope,0.00,0.00,-1200.00
