lane_id,timestamp_et,action,source_instrument,executable_proxy,caller_path,caller_type,route_destination,prior_blocker,post_fix_caller_gate_passed,post_fix_caller_gate_detail,bridge_preflight_reached,post_fix_blocking_failure_count,post_fix_first_blocking_failure,post_fix_first_blocking_detail,classification
gc_1x_all_lanes__asia_early_long,2026-04-29T19:06:00-04:00,BUY,GC,MGC,probationary_paper_runtime_lane,supervised_paper_runtime,ibkr_paper_bridge_submit_capable,BLOCKED_NOT_SENT_TO_BROKER: Paper strategy bridge detected forbidden caller frames: mgc_v05l.strategy.strategy_engine,True,Paper strategy bridge caller path is approved for supervised paper routing.,True,0,,,REACHES_BRIDGE_PREFLIGHT
gc_1x_all_lanes__asia_early_short,2026-04-29T19:05:00-04:00,SELL,GC,MGC,probationary_paper_runtime_lane,supervised_paper_runtime,ibkr_paper_bridge_submit_capable,BLOCKED_NOT_SENT_TO_BROKER: Paper strategy bridge detected forbidden caller frames: mgc_v05l.strategy.strategy_engine,True,Paper strategy bridge caller path is approved for supervised paper routing.,True,0,,,REACHES_BRIDGE_PREFLIGHT
