lane_id,source_instrument,executable_proxy,routing_mode,governance_status,current_intent,submit_capable,current_blocker,broker_path_pnl,internal_only_pnl,last_signal_time,last_local_trade_time,last_ibkr_broker_path_trade_time,readiness_bucket
mnq_1x_ny_early_core__us_early_short_breakdown,MNQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,90.00,2026-04-27T08:24:00-04:00,2026-04-27T08:29:00-04:00,,ready but waiting for signal
mnq_1x_ny_early_core__us_early_short_reclaim_fail,MNQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,90.00,2026-04-27T08:24:00-04:00,2026-04-27T08:29:00-04:00,,ready but waiting for signal
mnq_1x_ny_early_core__us_late_long,MNQ,MNQ,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-98.00,2026-04-28T13:34:00-04:00,2026-04-28T13:49:00-04:00,,ready but waiting for signal
mnq_1x_ny_early_core__us_late_short_reclaim_fail,MNQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,124.50,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00,,ready but waiting for signal
mnq_1x_ny_early_core__us_midday_long,MNQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,129.00,2026-04-28T11:06:00-04:00,2026-04-28T11:07:00-04:00,,ready but waiting for signal
mnq_1x_ny_early_core__us_midday_short_breakdown,MNQ,MNQ,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-119.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00,,ready but waiting for signal
nq_1x_asia_london_participation__asia_london_long_v5,NQ,MNQ,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
nq_1x_asia_london_participation__asia_london_long_v6,NQ,MNQ,IBKR_ROUTED,PROBATION_ACTIVE,NO_ACTION,True,,0.00,0.00,,,,ready but waiting for signal
nq_1x_asia_london_participation__asia_london_short_v2,NQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,5295.00,2026-04-27T19:07:00-04:00,2026-04-28T19:03:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_early_long,NQ,MNQ,IBKR_ROUTED,DEGRADED,NO_ACTION,True,,0.00,-680.00,2026-04-27T08:26:00-04:00,2026-04-27T08:27:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_early_short_breakdown,NQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,990.00,2026-04-27T08:24:00-04:00,2026-04-27T08:29:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_early_short_reclaim_fail,NQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,690.00,2026-04-27T08:24:00-04:00,2026-04-27T08:29:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_late_long,NQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,1130.00,2026-04-28T13:34:00-04:00,2026-04-28T14:02:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_late_short_reclaim_fail,NQ,MNQ,IBKR_ROUTED,KILL_CANDIDATE,NO_ACTION,True,,0.00,-1050.00,2026-04-28T13:35:00-04:00,2026-04-28T13:36:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_midday_long,NQ,MNQ,IBKR_ROUTED,PROMISING,NO_ACTION,True,,0.00,1515.00,2026-04-28T11:06:00-04:00,2026-04-28T11:07:00-04:00,,ready but waiting for signal
nq_1x_ny_early_core__us_midday_short_breakdown,NQ,MNQ,IBKR_ROUTED,KILL_CANDIDATE,NO_ACTION,True,,0.00,-1200.00,2026-04-28T11:05:00-04:00,2026-04-28T11:12:00-04:00,,ready but waiting for signal
