candidate_id,session_date,calendar_dte,target_credit,modeled_fill_ns,entry_model,frozen_baseline_fill_ns,frozen_baseline_credit,baseline_entry_verified,events,valid_events,fresh_seconds,stale_events,unmatched_events,invalid_events,locked_events,trade_events,first_mid,last_mid,median_mid,median_width,updates_per_second,bid_min,bid_max,ask_min,ask_max,bid_target_seconds,bid_target_crossings,mid_target_seconds,mid_target_crossings,ask_target_seconds,ask_target_crossings,marketable_seconds,plausible_seconds,marketable_fraction,plausible_fraction,entry_credit_crossings,around_entry_first_mid,around_entry_last_mid,around_entry_median_mid,plus_5s_mid,plus_15s_mid,plus_30s_mid,plus_60s_mid,plus_120s_mid,plus_300s_mid
939,2023-03-28,2,5.0,,hypothetical_midpoint,1680010260000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.5,4.899999999999999,4.649999999999999,,,,,,
940,2023-03-28,2,6.0,,hypothetical_midpoint,1680010260000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.499999999999986,5.849999999999994,6.300000000000004,,,,,,
941,2023-03-28,2,7.0,,hypothetical_midpoint,1680010260000000000,7.0499999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.0,7.099999999999994,7.099999999999994,,,,,,
942,2023-03-28,3,5.0,,hypothetical_midpoint,1680010260000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.000000000000014,5.349999999999994,6.0,,,,,,
943,2023-03-28,3,6.0,,hypothetical_midpoint,1680010260000000000,6.0499999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,5.999999999999986,6.099999999999994,,,,,,
944,2023-03-28,3,7.0,,hypothetical_midpoint,1680010260000000000,7.050000000000023,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.900000000000006,7.25,7.0,,,,,,
945,2023-03-29,2,5.0,,hypothetical_midpoint,1680096660000000000,4.7500000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.699999999999989,4.799999999999997,5.550000000000004,,,,,,
946,2023-03-29,2,6.0,,hypothetical_midpoint,1680096660000000000,5.7500000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.849999999999994,5.800000000000011,6.150000000000006,,,,,,
947,2023-03-29,2,7.0,,hypothetical_midpoint,1680096660000000000,6.7500000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.450000000000003,6.799999999999997,7.400000000000006,,,,,,
948,2023-03-31,3,5.0,,hypothetical_midpoint,1680269460000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,3.75,4.899999999999999,4.949999999999996,,,,,,
949,2023-03-31,3,6.0,,hypothetical_midpoint,1680269460000000000,5.849999999999992,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.850000000000001,5.899999999999999,5.850000000000001,,,,,,
950,2023-03-31,3,7.0,,hypothetical_midpoint,1680269460000000000,6.849999999999977,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.850000000000001,6.900000000000006,6.7000000000000135,,,,,,
951,2023-04-03,2,5.0,,hypothetical_midpoint,1680528660000000000,4.900000000000017,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.300000000000004,4.950000000000003,4.950000000000003,,,,,,
952,2023-04-03,2,6.0,,hypothetical_midpoint,1680528660000000000,5.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.850000000000001,5.949999999999996,5.949999999999996,,,,,,
953,2023-04-03,2,7.0,,hypothetical_midpoint,1680528660000000000,6.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.0,7.049999999999997,7.049999999999997,,,,,,
954,2023-04-03,3,5.0,,hypothetical_midpoint,1680528660000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.150000000000006,5.0,4.999999999999993,,,,,,
955,2023-04-03,3,6.0,,hypothetical_midpoint,1680528660000000000,5.900000000000017,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.8500000000000085,5.950000000000003,5.900000000000006,,,,,,
956,2023-04-03,3,7.0,,hypothetical_midpoint,1680528660000000000,6.7999999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.049999999999997,6.8500000000000085,7.5,,,,,,
978,2023-04-17,2,5.0,,hypothetical_midpoint,1681738260000000000,4.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.450000000000003,5.049999999999997,4.800000000000004,,,,,,
979,2023-04-17,2,6.0,,hypothetical_midpoint,1681738260000000000,6.050000000000009,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.600000000000001,6.100000000000001,6.100000000000001,,,,,,
980,2023-04-17,2,7.0,,hypothetical_midpoint,1681738260000000000,6.849999999999977,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.200000000000017,6.900000000000006,7.099999999999994,,,,,,
981,2023-04-17,3,5.0,,hypothetical_midpoint,1681738260000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.600000000000001,4.899999999999999,4.899999999999999,,,,,,
982,2023-04-17,3,6.0,,hypothetical_midpoint,1681738260000000000,5.800000000000023,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.849999999999994,5.800000000000004,5.750000000000011,,,,,,
983,2023-04-17,3,7.0,,hypothetical_midpoint,1681738260000000000,7.100000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.400000000000006,7.1499999999999915,7.149999999999999,,,,,,
1005,2023-04-28,3,5.0,,hypothetical_midpoint,1682688660000000000,5.099999999999992,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.350000000000001,5.149999999999999,5.150000000000006,,,,,,
1006,2023-04-28,3,6.0,,hypothetical_midpoint,1682688660000000000,5.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.8999999999999915,5.950000000000003,6.699999999999996,,,,,,
1007,2023-04-28,3,7.0,,hypothetical_midpoint,1682688660000000000,6.849999999999992,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.349999999999987,6.8999999999999915,7.25,,,,,,
1008,2023-05-01,2,5.0,,hypothetical_midpoint,1682947860000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.100000000000001,5.0,5.0,,,,,,
