candidate_id,session_date,calendar_dte,target_credit,category,observed_fresh_seconds,expected_regular_seconds,coverage_fraction,first_target_ns,max_before_observed_target,reason
939,2023-03-28,2,5.0,censored/insufficient coverage,59.69140487199998,70200,0.0008503049127065524,1680096616416816827,3.0,missing entry or incomplete path
940,2023-03-28,2,6.0,censored/insufficient coverage,63.96165667799997,70200,0.0009111347105128201,1680096617361783499,3.700000000000003,missing entry or incomplete path
941,2023-03-28,2,7.0,censored/insufficient coverage,81.09760620499995,70200,0.0011552365556267799,1680183017620392605,8.299999999999997,missing entry or incomplete path
942,2023-03-28,3,5.0,censored/insufficient coverage,109.69467408899999,93600,0.00117195164625,1680096623376182918,5.200000000000003,missing entry or incomplete path
943,2023-03-28,3,6.0,censored/insufficient coverage,112.98160883399997,93600,0.0012070684704487177,1680096658525751595,7.050000000000004,missing entry or incomplete path
944,2023-03-28,3,7.0,censored/insufficient coverage,102.06452887999998,93600,0.0010904330008547007,1680183015330004969,7.849999999999994,missing entry or incomplete path
945,2023-03-29,2,5.0,censored/insufficient coverage,78.951852456,70200,0.001124670262905983,1680183015329985443,2.4000000000000004,missing entry or incomplete path
946,2023-03-29,2,6.0,censored/insufficient coverage,82.75133174399996,70200,0.0011787938994871788,1680183015419603635,2.6000000000000014,missing entry or incomplete path
947,2023-03-29,2,7.0,censored/insufficient coverage,6489.046174504059,70200,0.09243655519236552,1680183045474556554,6.550000000000004,missing entry or incomplete path
948,2023-03-31,3,5.0,censored/insufficient coverage,38.30858456900006,46800,0.0008185594993376081,1680528616212293982,2.6000000000000005,missing entry or incomplete path
949,2023-03-31,3,6.0,censored/insufficient coverage,10717.938466793974,46800,0.22901577920499944,1680528617179386984,9.8,missing entry or incomplete path
950,2023-03-31,3,7.0,censored/insufficient coverage,35.742683732,46800,0.0007637325583760684,1680528616261902973,9.600000000000001,missing entry or incomplete path
951,2023-04-03,2,5.0,censored/insufficient coverage,74.42993764599997,70200,0.0010602555220227917,1680615022708178966,4.600000000000005,missing entry or incomplete path
952,2023-04-03,2,6.0,censored/insufficient coverage,69.24316169599996,70200,0.0009863698247293442,,10.0,missing entry or incomplete path
953,2023-04-03,2,7.0,censored/insufficient coverage,59.69181824299998,70200,0.0008503108011823359,,10.0,missing entry or incomplete path
954,2023-04-03,3,5.0,censored/insufficient coverage,105.02050246299999,93600,0.0011220139152029913,1680615018373639616,4.299999999999997,missing entry or incomplete path
955,2023-04-03,3,6.0,censored/insufficient coverage,86.25750536999992,93600,0.0009215545445512812,,10.0,missing entry or incomplete path
956,2023-04-03,3,7.0,censored/insufficient coverage,75.89286630100011,93600,0.0008108212211645311,,10.0,missing entry or incomplete path
978,2023-04-17,2,5.0,censored/insufficient coverage,85.10532546800002,70200,0.001212326573618234,1681824616679596241,2.3499999999999996,missing entry or incomplete path
979,2023-04-17,2,6.0,censored/insufficient coverage,72.85555154499995,70200,0.001037828369586894,1681824622397134056,3.200000000000003,missing entry or incomplete path
980,2023-04-17,2,7.0,censored/insufficient coverage,66.82654804100001,70200,0.0009519451287891739,,10.0,missing entry or incomplete path
981,2023-04-17,3,5.0,censored/insufficient coverage,110.41153638800014,93600,0.001179610431495728,1681824616699882869,2.8500000000000014,missing entry or incomplete path
982,2023-04-17,3,6.0,censored/insufficient coverage,107.07436266099988,93600,0.0011439568660363236,1681824652100074720,5.950000000000003,missing entry or incomplete path
983,2023-04-17,3,7.0,censored/insufficient coverage,84.42541550399996,93600,0.0009019809348717944,,10.0,missing entry or incomplete path
1005,2023-04-28,3,5.0,censored/insufficient coverage,13907.160432262925,46800,0.29716154769792574,1682947816175156280,2.6999999999999993,missing entry or incomplete path
1006,2023-04-28,3,6.0,censored/insufficient coverage,14709.190647766141,46800,0.31429894546508846,1682947913597001379,6.599999999999998,missing entry or incomplete path
1007,2023-04-28,3,7.0,censored/insufficient coverage,37.319322271000004,46800,0.0007974214160470087,,7.049999999999997,missing entry or incomplete path
1008,2023-05-01,2,5.0,censored/insufficient coverage,71.75575835500003,70200,0.0010221617999287753,,8.549999999999997,missing entry or incomplete path
1009,2023-05-01,2,6.0,censored/insufficient coverage,69.06078613400004,70200,0.0009837718822507128,,9.900000000000006,missing entry or incomplete path
1010,2023-05-01,2,7.0,censored/insufficient coverage,55.370799604999945,70200,0.0007887578291310534,,9.950000000000003,missing entry or incomplete path
