candidate_id,session_date,calendar_dte,target_credit,resting_activation_ns,minute_touches,minute_touches_any_fresh_events,strong fill evidence,plausible fill evidence,ambiguous,unlikely fill,conditional_strong fill evidence,conditional_plausible fill evidence,conditional_ambiguous,conditional_unlikely fill,events,valid_events,fresh_seconds,stale_events,unmatched_events,invalid_events,locked_events,trade_events,first_mid,last_mid,median_mid,median_width,updates_per_second,bid_min,bid_max,ask_min,ask_max,bid_target_seconds,bid_target_crossings,mid_target_seconds,mid_target_crossings,ask_target_seconds,ask_target_crossings
939,2023-03-28,2,5.0,,789,2,0,0,789,0,1,1,787,0,540,474,59.69140487199998,34,0,38,0,0,3.0,0.2749999999999999,2.4000000000000004,13.600000000000001,0.0027531355154481493,-17.8,-1.1500000000000004,1.5499999999999998,22.199999999999996,59.69140487199998,0,59.54996947899997,7,20.139722015999997,10
940,2023-03-28,2,6.0,,713,2,0,0,713,0,1,1,711,0,581,529,63.96165667799997,35,0,21,0,0,3.1000000000000014,0.3500000000000001,3.1999999999999957,14.600000000000001,0.0029621698786581013,-14.799999999999997,-1.1999999999999997,1.7999999999999998,21.200000000000003,63.96165667799997,0,28.519208180999982,23,23.003157736999988,11
941,2023-03-28,2,7.0,,386,1,0,0,386,0,0,1,385,0,952,925,81.09760620499995,23,0,13,0,0,7.549999999999997,1.2999999999999998,1.3000000000000007,8.6,0.004853675945753033,-18.85,-1.0,3.200000000000001,22.200000000000003,81.09760620499995,0,38.00099362799997,0,0,0
942,2023-03-28,3,5.0,,809,2,0,0,809,0,1,1,807,0,1316,1260,109.69467408899999,50,0,19,0,0,4.200000000000003,0.34999999999999987,1.3499999999999996,5.899999999999999,0.004657747575564522,-19.8,-1.1999999999999993,2.5,20.400000000000006,109.69467408899999,0,67.55557049799995,5,20.190937929,9
943,2023-03-28,3,6.0,,798,2,0,0,798,0,1,1,796,0,1530,1492,112.98160883399997,34,0,14,0,1,4.499999999999993,0.6499999999999995,1.700000000000001,6.299999999999997,0.005415162454873646,-11.399999999999999,-1.0,2.0,20.799999999999997,112.98160883399997,0,71.32155062700005,2,12.811698524,9
944,2023-03-28,3,7.0,,780,2,0,0,780,0,1,1,778,0,1413,1318,102.06452887999998,91,0,9,0,0,6.300000000000004,1.1500000000000004,1.3000000000000007,9.899999999999999,0.005001061796559779,-18.4,-0.5,2.5,21.89999999999999,102.06452887999998,0,79.89819877500003,7,0.0109212,1
945,2023-03-29,2,5.0,,782,2,0,0,782,0,1,1,780,0,1053,998,78.951852456,53,0,5,0,0,2.4000000000000004,0.9000000000000004,1.1500000000000004,9.600000000000005,0.0053686142551238915,-18.5,-0.5,2.5999999999999996,20.4,78.951852456,0,78.94756876199999,3,0.012600023,1
946,2023-03-29,2,6.0,,707,1,0,0,707,0,0,1,706,0,1192,1159,82.75133174399996,33,0,7,0,0,2.6000000000000014,1.3000000000000007,1.4999999999999991,7.1,0.006077291730396656,-15.0,-0.9000000000000004,3.0999999999999996,19.799999999999997,82.75133174399996,0,79.15531820799997,46,0,0
947,2023-03-29,2,7.0,,387,317,0,0,387,0,241,76,70,0,125268,91831,6489.046174504059,29960,0,4110,0,41,4.199999999999999,0.05000000000000002,1.3499999999999996,5.1,0.6386662587947385,-19.700000000000003,1.0000000000000018,0.45000000000000007,23.800000000000004,6489.046174504059,0,6397.470866171069,77,2827.2586024450015,95
948,2023-03-31,3,5.0,,643,1,0,0,643,0,0,1,642,0,884,825,38.30858456900006,53,0,7,0,0,2.6000000000000005,1.9000000000000004,1.9000000000000021,10.799999999999997,0.003128760529482551,-10.899999999999999,-1.0999999999999979,4.999999999999998,15.299999999999999,38.30858456900006,0,38.30546349700006,1,0,0
949,2023-03-31,3,6.0,,338,197,0,0,338,0,67,130,141,0,167548,142352,10717.938466793974,24223,0,1343,23,85,5.3000000000000025,0.0,2.0999999999999996,7.699999999999999,0.5930062999929213,-20.0,1.7000000000000028,0.15000000000000002,25.1,10717.938466793974,0,6212.613988870069,609,958.7787027780028,88
950,2023-03-31,3,7.0,,130,0,0,0,130,0,0,0,130,0,62698,256,35.742683732,62442,0,58143,7,25,4.200000000000003,4.649999999999999,4.4999999999999964,17.200000000000003,0.22190840235010972,-16.9,-2.6000000000000014,11.200000000000003,25.200000000000003,35.742683732,0,0.009152447,2,0,0
951,2023-04-03,2,5.0,,17,1,0,0,17,0,0,1,16,0,60410,431,74.42993764599997,59979,0,58900,0,16,3.4499999999999993,7.100000000000001,4.600000000000005,26.5,0.30799428979300497,-16.799999999999997,-2.3999999999999986,8.800000000000004,26.0,74.42993764599997,0,2.663098354,15,0,0
952,2023-04-03,2,6.0,,0,0,0,0,0,0,0,0,0,0,489,452,69.24316169599996,30,0,9,0,0,4.599999999999998,8.25,5.199999999999996,27.4,0.0024931171612113797,-14.700000000000003,-1.3999999999999986,11.5,28.299999999999983,69.24316169599996,0,0,0,0,0
953,2023-04-03,2,7.0,,0,0,0,0,0,0,0,0,0,0,428,377,59.69181824299998,35,0,20,0,0,6.0,9.349999999999994,7.900000000000006,30.5,0.0021821148159477926,-12.199999999999989,-2.4000000000000057,15.200000000000003,29.400000000000006,59.69181824299998,0,0,0,0,0
954,2023-04-03,3,5.0,,0,0,0,0,0,0,0,0,0,0,652,571,105.02050246299999,45,0,41,0,0,4.0,9.849999999999994,5.950000000000003,27.299999999999997,0.002307637856586678,-16.0,-1.5,8.799999999999997,29.5,105.02050246299999,0,0.297268105,6,0,0
955,2023-04-03,3,6.0,,0,0,0,0,0,0,0,0,0,0,737,584,86.25750536999992,55,0,107,0,0,5.399999999999999,10.0,6.950000000000003,31.099999999999994,0.0026084802151907695,-13.799999999999997,-0.7999999999999972,11.099999999999994,29.80000000000001,86.25750536999992,0,0,0,0,0
956,2023-04-03,3,7.0,,0,0,0,0,0,0,0,0,0,0,714,579,75.89286630100011,52,0,90,0,0,6.8500000000000085,9.950000000000017,9.199999999999989,33.69999999999999,0.002527075812274368,-13.5,-4.199999999999989,18.0,31.0,75.89286630100011,0,0,0,0,0
978,2023-04-17,2,5.0,,234,1,0,0,234,0,0,1,233,0,2267,2237,85.10532546800002,28,0,7,0,2,2.3499999999999996,7.699999999999996,2.400000000000002,4.0,0.011558070765779546,-11.5,0.7000000000000028,4.0,27.60000000000001,85.10532546800002,0,44.02148530500005,3,0,0
979,2023-04-17,2,6.0,,14,0,0,0,14,0,0,0,14,0,653,624,72.85555154499995,29,0,2,0,1,3.200000000000003,8.650000000000006,8.25,24.450000000000003,0.0033292546140511877,-11.100000000000009,-0.4000000000000057,6.699999999999996,28.39999999999999,72.85555154499995,0,12.763813618999999,16,0,0
980,2023-04-17,2,7.0,,0,0,0,0,0,0,0,0,0,0,521,468,66.82654804100001,27,0,31,0,0,3.5,9.849999999999994,5.399999999999999,21.4,0.002656265932497196,-10.700000000000003,-1.6000000000000085,11.399999999999999,29.5,66.82654804100001,0,0,0,0,0
981,2023-04-17,3,5.0,,23,0,0,0,23,0,0,0,23,0,1442,1235,110.41153638800014,199,0,11,0,2,2.8500000000000014,8.699999999999996,6.100000000000001,21.10000000000001,0.005103702130671763,-12.699999999999989,-0.19999999999999574,6.100000000000001,28.60000000000001,110.41153638800014,0,19.405097286999997,27,0,0
982,2023-04-17,3,6.0,,0,0,0,0,0,0,0,0,0,0,851,797,107.07436266099988,50,0,7,0,0,3.4999999999999964,9.5,7.799999999999997,27.200000000000017,0.003011962907906845,-11.700000000000017,-1.8999999999999986,9.300000000000004,29.5,107.07436266099988,0,0.022127311,1,0,0
983,2023-04-17,3,7.0,,0,0,0,0,0,0,0,0,0,0,874,693,84.42541550399996,94,0,103,0,0,6.350000000000001,10.0,9.0,30.400000000000006,0.003093367310823246,-12.899999999999977,-3.799999999999983,15.299999999999997,31.899999999999977,84.42541550399996,0,0,0,0,0
1005,2023-04-28,3,5.0,,374,337,0,0,374,0,266,71,37,0,311112,283697,13907.160432262925,26948,0,1089,6,244,2.6999999999999993,0.024999999999999994,2.250000000000001,2.9000000000000004,1.1011255043533659,-19.3,3.299999999999997,0.3,24.0,13907.005216613925,2,12363.886952347977,1489,7194.821118606984,225
1006,2023-04-28,3,6.0,,118,118,0,0,118,0,84,34,0,0,224518,200355,14709.190647766141,23944,0,276,7,187,5.75,6.475,4.325,8.900000000000002,0.7946414666949813,-19.0,5.0,1.6,27.9,14702.930425063127,19,4723.778617882945,144,1637.4950234510045,255
1007,2023-04-28,3,7.0,,37,0,0,0,37,0,0,0,37,0,88707,255,37.319322271000004,88452,0,75566,3,74,6.7500000000000036,6.299999999999997,5.800000000000001,23.1,0.31396262476109577,-10.799999999999997,-4.200000000000003,15.599999999999994,21.699999999999996,37.319322271000004,0,0,0,0,0
