calendar_dte,target_credit,exit_rule,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,avg_min_debit,target_hit_rate,avg_return_on_max_risk,worst_trade,best_trade
2,5.0,eod_or_last,643,0.48833592534992226,-242.6956143079287,-2252.960000000028,-156053.27999999878,0.9488286791462182,0.9608864696734069,0.0,-0.024032935237683885,-10852.95999999993,10247.04
2,5.0,target_0.5,643,0.6251944012441679,2068.6574183514776,8847.039999999979,1330146.7200000025,1.5868691283602316,0.9608864696734069,0.6080870917573873,0.203178209325075,-10652.959999999943,10147.040000000035
2,5.0,target_1,643,0.6671850699844479,2392.9964541213058,7847.0400000000345,1538696.7200000044,1.7645381003433174,0.9608864696734069,0.6578538102643857,0.2350993569691225,-10652.959999999943,10147.040000000035
2,5.0,target_2,643,0.7698289269051322,3053.64964230171,6047.040000000026,1963496.7200000063,2.4037127911470453,0.9608864696734069,0.7682737169517885,0.30051669173637763,-10652.959999999943,9847.039999999968
2,5.0,target_3,643,0.8662519440124417,3067.9575738724748,4247.040000000001,1972696.7200000086,3.459707610640035,0.9608864696734069,0.8678071539657853,0.3019596225908607,-10652.959999999943,9847.039999999968
2,6.0,eod_or_last,643,0.4385692068429238,490.11931570762033,-5952.960000000004,315146.72,1.1163710941813474,1.371073094867807,0.0,0.058099164477917714,-10352.959999999988,12247.04
2,6.0,target_0.5,643,0.5489891135303266,2439.34171073095,10447.039999999966,1568496.7200000063,1.7132907653005247,1.371073094867807,0.5147744945567652,0.2973569977541848,-10352.959999999988,12247.04
2,6.0,target_1,643,0.5925349922239502,2904.3494867807167,9747.040000000037,1867496.7200000072,1.9393962356236754,1.371073094867807,0.5707620528771384,0.3553130604660552,-10352.959999999988,12047.039999999955
2,6.0,target_2,643,0.6905132192846034,3725.578102643858,8047.039999999998,2395546.7200000067,2.5804479905723197,1.371073094867807,0.6827371695178849,0.45677618717956964,-10352.959999999988,12047.039999999955
2,6.0,target_3,643,0.7869362363919129,3981.954463452565,6247.0400000000145,2560396.720000005,3.4679580672528627,1.371073094867807,0.7822706065318819,0.48755723848486965,-10352.959999999988,11947.040000000046
2,7.0,eod_or_last,643,0.3545878693623639,718.7351788491412,-5752.960000000023,462146.71999999764,1.1951156524943434,1.9153965785381029,0.0,0.11318520570346606,-10352.959999999988,14247.04
2,7.0,target_0.5,643,0.4525660964230171,2522.001119751161,-4252.960000000001,1621646.7199999972,1.8039926704317226,1.9153965785381029,0.416796267496112,0.40657166007717654,-10352.959999999988,14247.039999999888
2,7.0,target_1,643,0.5023328149300156,3189.5749922239424,647.0400000000348,2050896.7199999986,2.1192729849452157,1.9153965785381029,0.4727838258164852,0.5155615708434081,-10352.959999999988,14247.039999999888
2,7.0,target_2,643,0.5956454121306376,4052.9497978227037,9847.040000000025,2606046.720000004,2.7253221911914083,1.9153965785381029,0.5816485225505443,0.6565371916213913,-10352.959999999988,14247.039999999888
2,7.0,target_3,643,0.6951788491446346,4616.557884914462,8147.040000000007,2968446.720000008,3.5728009744941436,1.9153965785381029,0.687402799377916,0.7493765020789163,-10352.959999999988,14147.040000000035
3,5.0,eod_or_last,600,0.5083333333333333,268.32333333333725,1797.0400000000118,160994.00000000306,1.0605353661541053,1.0008333333333321,0.0,0.024736464608425508,-11752.960000000021,10347.039999999997
3,5.0,target_0.5,600,0.6216666666666667,2105.3233333333374,8847.03999999998,1263194.0000000054,1.605238291381581,1.0008333333333321,0.6066666666666667,0.20613517015879154,-11752.960000000021,10097.04
3,5.0,target_1,600,0.67,2516.073333333337,7947.039999999954,1509644.0000000068,1.8262893887611638,1.0008333333333321,0.6616666666666666,0.24650139575531815,-11752.960000000021,9947.040000000005
3,5.0,target_2,600,0.755,2881.4066666666704,6047.0400000000245,1728844.000000008,2.2707275167952687,1.0008333333333321,0.7516666666666667,0.2824310063941193,-11752.960000000021,9947.040000000005
3,5.0,target_3,600,0.855,3046.9900000000057,4297.040000000083,1828194.0000000095,3.306905728938188,1.0008333333333321,0.8583333333333333,0.29877762100586963,-10552.960000000034,9847.039999999968
3,6.0,eod_or_last,600,0.42333333333333334,353.9066666666673,-5952.959999999961,212344.00000000073,1.0828787538442668,1.3920000000000003,0.0,0.040020086653126084,-8652.96,12247.04
3,6.0,target_0.5,600,0.5383333333333333,2434.323333333335,10547.040000000023,1460594.000000004,1.7062492415743695,1.3920000000000003,0.52,0.29555517238720214,-8652.96,12447.039999999955
3,6.0,target_1,600,0.5816666666666667,2816.1566666666668,9847.039999999979,1689694.0000000044,1.8919542432658105,1.3920000000000003,0.5716666666666667,0.3423294825853621,-8652.96,12047.040000000012
3,6.0,target_2,600,0.66,3313.740000000004,7947.040000000046,1988244.0000000051,2.2962577484925064,1.3920000000000003,0.6583333333333333,0.40412789398921617,-8652.96,12047.039999999955
