calendar_dte,target_credit,exit_target,slippage,mode,trades,win_rate,target_hit_rate,avg_pnl,median_pnl,total_pnl,profit_factor,avg_return_on_max_risk,worst_trade,max_drawdown,longest_losing_streak,missing_next_minute
2,5.0,0.5,0.0,next_minute,643,0.5754276827371695,0.5894245723172629,856.3712597200649,5847.040000000005,550646.7200000009,1.2295357824677027,0.08488422310276628,-10552.959999999943,143290.07999999987,10,17
2,5.0,0.5,0.0,persist_2,643,0.5598755832037325,0.5194401244167963,931.3323794712308,8747.040000000014,598846.7200000008,1.228511833043635,0.0921192141833804,-10652.959999999937,170590.0799999999,10,0
2,5.0,0.5,0.0,persist_3,643,0.5505443234836703,0.49922239502332816,781.9544634525685,8797.03999999999,502796.7200000005,1.1886910827014916,0.07752715874851018,-10652.959999999937,170490.0799999999,10,0
2,5.0,0.5,0.0,touch,643,0.6298600311041991,0.6158631415241057,2277.522115085536,8897.040000000092,1464446.7200000025,1.6657924290195438,0.2259250036560636,-10552.959999999943,134253.5999999998,8,0
2,5.0,0.5,0.05,next_minute,643,0.567651632970451,0.5800933125972006,696.7289580093341,5847.03999999999,447996.72000000137,1.181329462957138,0.06838855832996674,-10652.959999999943,158554.87999999942,10,18
2,5.0,0.5,0.05,persist_2,643,0.5583203732503889,0.5178849144634525,797.6620839813401,8747.039999999979,512896.7200000011,1.1926090062789882,0.07809403914290244,-10852.95999999993,181790.07999999993,10,0
2,5.0,0.5,0.05,persist_3,643,0.5505443234836703,0.49922239502332816,672.2344012441708,8747.039999999979,432246.72000000166,1.1597685600765315,0.06598174848826616,-10852.95999999993,180890.0799999998,10,0
2,5.0,0.5,0.05,touch,643,0.6251944012441679,0.6080870917573873,2075.3448211508558,8847.039999999979,1334446.7200000023,1.5906426012547545,0.20384120722504634,-10652.959999999943,139253.5999999998,8,0
2,5.0,0.5,0.1,next_minute,643,0.5552099533437014,0.5660964230171073,428.45524105754606,5447.040000000006,275496.7200000025,1.1072453000073377,0.0415370894844253,-10752.959999999941,198604.8799999994,10,19
2,5.0,0.5,0.1,persist_2,643,0.5583203732503889,0.5178849144634525,659.4039191290858,8597.04,423996.72000000236,1.1569549822679548,0.06389401887366913,-10952.95999999993,196340.0799999998,10,0
2,5.0,0.5,0.1,persist_3,643,0.5489891135303266,0.49455676516329705,508.93735614308287,8597.03999999999,327246.72000000253,1.1187910999545445,0.04941976408659597,-10952.95999999993,193890.07999999978,10,0
2,5.0,0.5,0.1,touch,643,0.614307931570762,0.5956454121306376,1736.8533748055997,8647.040000000039,1116796.7200000028,1.4740859478916286,0.16885097719266545,-10752.959999999941,142653.5999999999,8,0
2,5.0,0.5,0.15,next_minute,643,0.5536547433903577,0.5629860031104199,333.1986314152424,5647.039999999996,214246.72000000108,1.082257068065503,0.03191686208095505,-10852.959999999943,208154.8799999995,10,19
2,5.0,0.5,0.15,persist_2,643,0.552099533437014,0.5101088646967341,418.7351788491459,8447.040000000023,269246.72000000125,1.0968303531111065,0.04010700133183929,-11052.959999999932,232418.95999999993,10,0
2,5.0,0.5,0.15,persist_3,643,0.5458786936236392,0.48989113530326595,302.48323483670447,8447.039999999988,194496.72000000151,1.0691147188363044,0.029082563474518524,-11052.959999999932,238368.95999999993,10,0
2,5.0,0.5,0.15,touch,643,0.6111975116640747,0.5925349922239502,1551.0057853810258,8597.039999999979,997296.7200000002,1.4139551965598471,0.14926820739662133,-10852.959999999943,146703.6,8,0
2,5.0,0.5,0.25,next_minute,643,0.5427682737169518,0.5427682737169518,-121.85580093312397,4847.040000000005,-78353.27999999776,0.9716467798835484,-0.011722275060781042,-11052.959999999943,287239.3599999995,10,20
2,5.0,0.5,0.25,persist_2,643,0.5458786936236392,0.49455676516329705,64.45835147745171,8197.03999999999,41446.72000000229,1.0143956492842627,0.005860026158789274,-11252.95999999993,300318.95999999944,11,0
2,5.0,0.5,0.25,persist_3,643,0.5396578538102644,0.4758942457231726,-44.40634525660706,8197.039999999977,-28553.279999997445,0.9902007606383828,-0.004285518385337309,-11252.95999999993,298818.9599999994,11,0
2,5.0,0.5,0.25,touch,643,0.5956454121306376,0.5738724727838258,1004.8160497667186,8347.039999999979,646096.7199999993,1.251456289973042,0.09478993034875267,-11052.959999999943,211489.35999999975,8,0
2,5.0,1.0,0.0,next_minute,643,0.5956454121306376,0.6376360808709176,643.8518195956473,4547.040000000008,413996.72000000125,1.185091023479213,0.06392501486769053,-10552.959999999943,132189.11999999956,8,17
2,5.0,1.0,0.0,persist_2,643,0.5863141524105754,0.5629860031104199,958.2375116640766,7897.039999999977,616146.7200000006,1.2487434101518837,0.09482394539856094,-10652.959999999937,143153.5999999999,10,0
2,5.0,1.0,0.0,persist_3,643,0.567651632970451,0.5396578538102644,646.9622395023348,7847.0399999999845,415996.7200000012,1.1608728422875987,0.06414306113051985,-10652.959999999937,166140.08,10,0
2,5.0,1.0,0.0,touch,643,0.671850699844479,0.6640746500777605,2599.839377916018,7947.04,1671696.7200000053,1.8570937601401092,0.25799390381353293,-10552.959999999943,119253.59999999977,8,0
2,5.0,1.0,0.05,next_minute,643,0.5909797822706065,0.6298600311041991,545.4847900466591,4747.03999999993,350746.72000000236,1.1535683120797253,0.05365308749480704,-10652.959999999943,143227.19999999937,8,18
2,5.0,1.0,0.05,persist_2,643,0.5754276827371695,0.552099533437014,699.8393779160214,7847.039999999977,449996.7200000018,1.1754094108879627,0.06854165852863811,-10852.95999999993,180982.47999999975,10,0
